Major,Most_Used_Social_Media,Age,Creativity_Score,Creativity_Percentile,Year,Semester,Section,BirthMonth,Biosex,Height_in_Inches,Number_of_Languages_Spoken,Extroversion,Agreeableness,Openness,Conscientiousness,Neuroticism,How_Many_Siblings,Birth_Order,Oldest_Child
Psychology,TikTok,18,83.75,80.54,2025,WIN,D,July,F,59,1,92,79,98,40,48,3,3,0
Psychology,Facebook,23,78.48,52.84,2025,WIN,D,July,M,71,1,87.5,75,75,75,21,3,3,0
Industrial/organizational psychology,Pinterest,19,70.95,14.57,2025,WIN,D,July,F,59,1,71,90,65,79,15,3,1,1
Mathematics,Instagram,21,88.98,94.99,2025,WIN,D,July,F,66,1.5,12.5,75,83,31,67,5,1,1
Psychology,Instagram,21,75.69,36.48,2025,WIN,D,July,F,62,1,58,78,73,37.5,48,6,1,1
Business Analytics,WhatsApp,20,82.39,74.44,2025,WIN,D,June,M,68.9,3,37.5,77,96,50,65,1,2,0
"Fisheries, Range and Wildlife Management",TikTok,21,88.83,94,2025,WIN,D,June,F,67,1,48,60,90,71,40,3,1,1
History,Instagram,18,91.05,97.46,2025,WIN,D,June,F,68,1,69,81,90,65,62.5,2,3,0
Industrial/organizational psychology,Messenger,19,74.09,27.92,2025,WIN,D,June,F,NA,1,56,81,87.5,58,69,5,6,0
International Studies,YouTube,22,87,91.1,2025,WIN,D,June,M,70,2,79,42,79,56,40,3,1,1
Psychology,YouTube,22,86.89,90.85,2025,WIN,D,March,M,75,1,35,71,87.5,54,46,2,1,1
Bioinformatics,Instagram,21,90.13,96.53,2025,WIN,D,March,M,72,1,40,65,90,56,50,2,2,0
"Fisheries, Range and Wildlife Management",Instagram,22,72.15,19.04,2025,WIN,D,March,M,79,2,50,90,81,79,35,3,2,0
"Fisheries, Range and Wildlife Management",NA,18,81.74,70.835,2025,WIN,D,March,F,64,1,23,75,58,85,81,2,NA,NA
"Fisheries, Range and Wildlife Management",TikTok,19,92.74,98.63,2025,WIN,D,March,F,63,1,42,77,87.5,58,42,2,3,0
"Fisheries, Range and Wildlife Management",Facebook,20,73.09,23.12,2025,WIN,D,March,F,63,1,42,77,42,79,52,5,2,0
"Fisheries, Range and Wildlife Management",Facebook,20,72.73,21.51,2025,WIN,D,March,M,76,1,42,60,60,90,35,1,2,0
Business Analytics,Instagram,19,79.21,57.18,2025,WIN,D,May,F,68,1,58,71,81,76,58,3,3,0
"Fisheries, Range and Wildlife Management",Instagram,24,85.36,86.46,2025,WIN,D,May,M,72,2,6,69,46,75,54,2,2,0
"Fisheries, Range and Wildlife Management",Messenger,22,76.32,40.08,2025,WIN,D,May,M,58,1,65,92,77,75,50,3,1,1
"Fisheries, Range and Wildlife Management",YouTube,26,93.76,99.09,2025,WIN,D,May,M,64,0.9,40,56,60,46,42,6,4,0
Industrial/organizational psychology,Instagram,NA,82.47,74.83,2025,WIN,D,May,M,71,1,79,56,90,73,29,0,5,0
Psychology,YouTube,22,81.33,69.09,2025,WIN,D,May,F,63,2,75,83,77,35,60,7,8,0
Psychology,Instagram,23,82.27,73.89,2025,WIN,D,May,F,68,1,92,81,65,87.5,25,5,3,0
Psychology,YouTube,21,91.3,97.68,2025,WIN,D,May,M,69,2,81,58,77,75,37.5,2,2,0
Psychology,NA,20,80.93,66.97,2025,WIN,D,May,F,62,2,56,90,71,44,67,0,1,1
Software Engineering,Instagram,24,85.68,87.48,2025,WIN,D,May,M,74,1,50,62.5,75,25,54,3,1,1
"Fisheries, Range and Wildlife Management",YouTube,25,74.39,29.47,2025,WIN,D,November,M,72,1,44,83,81,27,67,2,3,0
"Fisheries, Range and Wildlife Management",Instagram,24,72.22,19.33,2025,WIN,D,November,F,63,1,62.5,85,75,58,50,3,1,1
"Fisheries, Range and Wildlife Management",Instagram,25,81.75,71.28,2025,WIN,D,November,M,74,2,58,77,69,73,48,3,3,0
"Fisheries, Range and Wildlife Management",Facebook,21,81.49,69.92,2025,WIN,D,November,F,65,1,46,73,77,65,69,6,5,0
"Fisheries, Range and Wildlife Management",Tumblr,26,83.73,80.44,2025,WIN,D,November,F,70,1,23,64,71,12.5,62.5,1,1,1
Psychology,Instagram,18,91.32,97.69,2025,WIN,D,November,F,65,1,67,62,73,85,44,7,7,0
Psychology,Instagram,24,81.91,72.1,2025,WIN,D,November,F,62,1.5,44,44,79,50,81,4,3,0
Bioinformatics,Discord,21,82.66,75.73,2025,WIN,D,October,M,NA,1,2,52,60,81,90,5,2,0
Business Analytics,Instagram,26,68.58,7.92,2025,WIN,D,October,M,71,2,48,37.5,87.5,69,44,3,3,0
Business Analytics,WhatsApp,22,82.11,73.06,2025,WIN,D,October,F,71,4,27,87.5,67,67,54,4,2,0
Data Science,TikTok,20,75.69,36.46,2025,WIN,D,October,M,71,1,33,75,75,50,67,3,4,0
Data Science,YouTube,24,87.7,92.69,2025,WIN,D,October,M,70,1,44,43,83,77,50,3,4,0
Psychology,Instagram,22,79.34,57.94,2025,WIN,D,October,F,71,1,69,75,65,56,54,3,2,0
Psychology,Instagram,22,71.55,16.71,2025,WIN,D,October,M,69,1,94,83,90,62.5,21,3,4,0
Software Engineering,TikTok,24,78.8,55.27,2025,WIN,D,October,M,70,3,35,42,71,21,92,3,1,1
Accounting,TikTok,22,67.31,5.48,2025,WIN,D,September,M,66,2,79,58,81,60,65,2,2,0
Biochemistry,YouTube,22,76.18,39.29,2025,WIN,D,September,M,70,1,98,69,75,79,10,2,1,1
Business Analytics,Instagram,20,77.59,47.58,2025,WIN,D,September,M,75,1,44,54,81,62.5,48,1,1,1
Business Analytics,Instagram,22,80.52,64.68,2025,WIN,D,September,M,72,2,83,77,69,71,33,4,3,0
Data Science,Facebook,22,73.41,26.215,2025,WIN,D,September,F,60.2,2,94,83,69,79,50,0,1,1
Data Science,YouTube,NA,NA,NA,2025,WIN,D,September,M,67,2,40,80,60,70,9,1,1,1
"Fisheries, Range and Wildlife Management",Instagram,19,69.89,11.23,2025,WIN,D,September,F,62,1,62.5,87.5,67,52,31,3,1,1
Physics,Instagram,22,87.9,93.09,2025,WIN,D,September,M,69,1,37.5,81,71,62.5,58,3,3,0
Psychology,Instagram,22,88.47,94.14,2025,WIN,D,September,M,70,2,75,83,69,54,44,3,2,0
Psychology,Instagram,21,80.13,62.53,2025,WIN,D,September,F,65,2,90,79,85,52,73,2,1,1
"Fisheries, Range and Wildlife Management",Instagram,22,60.36,4.1,2025,WIN,D,September,F,63,1,62.5,75,69,85,46,3,4,0
Zoology,Instagram,25,77.49,46.96,2025,WIN,D,September,F,65,1,56,87.5,83,75,58,3,NA,NA
Computer Science,Discord,20,92.23,99.27,2025,SPR,D,November,M,73,1,29,79,62.5,62.5,85,1,1,1
Psychology,YouTube,22,76.38,35.78,2025,SPR,D,June,F,66,2,54,77,71,52,52,1,1,1
Computer Science,YouTube,20,90.02,97.46,2025,SPR,D,November,F,65,1,19,48,71,92,54,7,6,0
"Fisheries, Range and Wildlife Management",BeReal,21,86.89,91.72,2025,SPR,D,August,F,65,1,37.5,69,60,31,58,3,1,1
Data Science,Discord,22,84.89,85.35,2025,SPR,D,April,M,71,1,29,67,54,52,29,3,3,0
Psychology,NA,NA,NA,NA,2025,SPR,D,January,F,62.4,2,77,94,69,87.5,50,2,1,1
Psychology,Instagram,21,69.17,78,2025,SPR,D,September,F,64,1,37.5,69,48,62.5,33,3,2,NA
Psychology,Instagram,22,73.07,73,2025,SPR,D,June,F,66,1,69,62.5,60,50,42,4,3,0
Software Engineering,YouTube,26,83.94,81.19,2025,SPR,D,August,M,67,2,62.5,65,62.5,15,35,7,1,1
Data Science,YouTube,25,80.67,64.24,2025,SPR,D,August,M,76,2,44,54,90,73,17,4,3,0
Psychology,None,21,88.93,94.18,2025,SPR,D,June,F,64,2,50,75,48,77,87.5,0,1,1
General Studies,Instagram,21,76.04,33.8,2025,SPR,D,February,F,59,2,54,100,98,58,48,3,2,NA
Psychology,WhatsApp,23,81.9,71.57,2025,SPR,D,July,F,66,2,42,48,85,37.5,19,5,5,0
Biology,YouTube,23,78.87,52.83,2025,SPR,D,October,M,65,2,81,77,79,48,56,6,1,1
"Fisheries, Range and Wildlife Management",NA,22,80.99,NA,2025,SPR,D,July,M,75,1,19,50,54,54,62.5,5,6,0
Psychology,Instagram,22,81.68,70.38,2025,SPR,D,November,F,61,1,31,75,98,56,75,2,3,0
Psychology,YouTube,24,87.69,93.54,2025,SPR,D,July,M,69,1,71,92,85,42,73,2,1,1
Business Analytics,Instagram,20,86.29,90.05,2025,SPR,D,October,F,68,1,85,85,94,54,77,4,4,0
Psychology,Instagram,20,83.8,80.62,2025,SPR,D,April,F,69,1,31,77,75,60,65,2,3,0
"Fisheries, Range and Wildlife Management",YouTube,18,82.06,72.42,2025,SPR,D,August,F,70,2,35,62.5,94,85,2,5,2,0
"Fisheries, Range and Wildlife Management",Instagram/Pinterest,19,91.07,98.43,2025,SPR,D,January,F,64,1,71,79,92,69,60,3,1,1
Psychology,TikTok,21,NA,NA,2025,SPR,D,July,F,67,2,46,73,81,37.5,21,5,4,0
Computer Science,YouTube,20,83.36,78.78,2025,SPR,D,May,M,74,1,46,85,79,75,46,6,2,0
Computer Science,YouTube,23,84.42,83.32,2025,SPR,D,February,M,63,2,8,85,90,54,65,1,2,0
Physics,Instagram,21,80.73,NA,2025,SPR,D,March,F,64,2,79,75,92,60,62.5,6,7,0
General Studies,Pinterest,20,79.5,56.77,2025,SPR,D,May,F,63,1,69,87.5,65,48,35,3,2,0
"Fisheries, Range and Wildlife Management",Instagram,26,76.26,35.08,2025,SPR,D,December,M,69,1,60,67,94,56,10,3,2,0
Psychology,Instagram,21,79.75,58.69,2025,SPR,D,July,M,72,1,52,67,81,73,48,3,2,NA
Psychology,None,22,91.26,98.26,2025,SPR,D,February,M,71,1,85,83,71,56,12.25,4,3,0
Psychology,Instagram,18,80.77,64.9,2025,SPR,D,May,F,70,1,37,62,67,40,60,5,4,0
Physics,TikTok,35,73.27,18.51,2025,SPR,D,June,F,65,3,6,79,85,96,48,2,2,0
Psychology,YouTube,22,87.59,93.4,2025,SPR,D,January,M,71,2,52,79,77,56,48,5,2,0
Computer Engineering,YouTube,21,79.9,59.37,2025,SPR,D,February,M,67,1,10,85,83,58,81,4,5,0
Biology,YouTube,22,81.16,67.42,2025,SPR,D,April,M,69,1,46,73,48,79,35,3,1,1
Psychology,YouTube,22,83.9,81.03,2025,SPR,D,October,M,68,1,87.5,73,92,67,17,3,4,NA
Psychology,Messenger,21,67.99,5.9,2025,SPR,D,February,M,73,2,75,73,87.5,67,52,9,1,1
Psychology,Facebook,25,70.7,9.18,2025,SPR,D,February,M,75,1,62.5,79,90,60,58,4,3,1
Psychology,Facebook/Instagram,20,69.62,8.07,2025,SPR,D,March,F,68,1,44,85,67,65,69,3,3,0
Psychology,Discord,19,84.81,85.07,2025,SPR,D,December,F,65,1,15,73,83,52,54,4,1,1
Psychology,Instagram,18,67.33,5.25,2025,SPR,D,August,F,70,1,37.5,79,62.5,62.5,48,4,2,0
Psychology,Instagram,19,80.7,NA,2025,SPR,D,March,F,65,4,67,73,54,40,62.5,2,1,1
Psychology,Facebook/YouTube,21,NA,NA,2025,SPR,D,January,F,66,1,75,85,90,58,62.5,15,1,1
Data Science,Instagram,21,86.79,91.47,2025,SPR,D,October,M,71,1,33,67,90,77,27,4,3,0
"Fisheries, Range and Wildlife Management",YouTube,20,74.32,23.99,2025,SPR,D,December,F,68,1,4,73,65,52,79,2,2,0
Psychology,Instagram,21,76.26,35.08,2025,SPR,D,December,M,70,2,73,52,54,52,62.5,3,1,1
Data Science,TikTok,20,72.99,17.65,2025,SPR,D,May,F,62,2,79,73,87.5,56,77,2,1,1
Data Science,YouTube,18,78.81,52.38,2025,SPR,D,May,F,64,1,54,73,87.5,37.5,60,0,1,1
Business Management,YouTube,21,71.1,NA,2025,SPR,D,August,M,70,1,71,62.5,77,58,54,2,3,0
Environmental Geoscience,YouTube,27,81.29,68.18,2025,SPR,D,April,M,71,1,88,46,77,46,29,4,3,0
Physics,YouTube,23,72.68,16.55,2025,SPR,D,August,M,71,1,35,65,73,79,56,4,2,0
Business Management,YouTube,23,77.47,43.3,2025,SPR,D,May,M,72,2,65,65,83,42,50,3,3,NA
Psychology,YouTube,23,80.76,64.82,2025,SPR,D,May,F,71,1,46,77,73,35,73,9,7,0
Data Science,NA,45,88.57,92.23,2025,SPR,D,November,M,76,2,44,60,50,81,48,4,4,0
Psychology,Facebook/Instagram,21,81.71,70.51,2025,SPR,D,August,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fisheries, Range and Wildlife Management",Tumblr/Discord,21,90.19,97.61,2025,SPR,D,March,F,65,1,17,75,83,23,27,2,2,0
Psychology,NA,25,83.54,79.57,1,FAL,D,March,M,70,3,62.5,77,96,60,48,3,2,0
"Fisheries, Range and Wildlife Management",YouTube,20,84.66,84.34,2,FAL,D,September,M,67,1,10,79,79,40,77,1,1,1
"Fisheries, Range and Wildlife Management",YouTube,21,88.28,94.67,1,FAL,D,February,M,65,1,48,65,87.5,58,50,4,5,0
"Fisheries, Range and Wildlife Management",Instagram,24,78.35,49.13,3,FAL,D,October,M,70,1,62.5,69,58,79,35,4,4,0
Psychology,Instagram,18,82.25,73.32,1,FAL,D,February,F,65,1,56,81,85,42,69,4,1,1
"Fisheries, Range and Wildlife Management",YouTube,24,92.63,99.45,2,FAL,D,July,M,72,1,40,79,79,67,62.5,6,1,1
Geology,TikTok,23,89.78,97.13,4,FAL,D,March,F,62,2,50,54,85,54,71,2,3,0
Accounting,Instagram,23,72.32,15.18,2,FAL,D,March,M,74,2,94,77,62.5,71,0,4,1,1
"Fisheries, Range and Wildlife Management",YouTube,19,91.64,98.94,2,FAL,D,December,F,64,1,83,94,96,50,44,3,1,1
Marketing,Instagram,21,83.94,81.22,2,FAL,D,September,M,73,2,29,79,58,60,40,7,2,0
Business Analytics,Instagram,18,81.29,68.18,1,FAL,D,July,F,70,1,48,85,58,71,48,2,2,0
Chemistry,NA,19,91.24,98.59,2,FAL,D,October,M,71,1,46,37.5,77,83,52,9,1,1
Software Engineering,YouTube,21,81.13,67.28,4,FAL,D,June,F,62,1,56,75,94,77,42,3,3,0
Environmental Geoscience,YouTube,19,89.64,96.94,1,FAL,D,August,M,75,2,56,46,83,48,90,4,1,1
Business Management,Instagram,18,82.29,73.59,1,FAL,D,December,F,62,1,50,60,77,48,81,1,2,0
Cyber Security,Rumble,31,79.24,55.09,1,FAL,D,October,M,74,1,42,60,67,65,75,2,1,1
"Fisheries, Range and Wildlife Management",YouTube,20,83.09,77.36,3,FAL,D,October,F,64,1,46,46,73,33,0,2,2,0
"Fisheries, Range and Wildlife Management",YouTube,25,76.76,38.49,2,FAL,D,February,M,73,1,50,60,65,50,79,0,1,1
Computer Engineering,YouTube,20,83.69,80.99,2,FAL,D,February,M,72,3,29,35,71,92,60,3,1,1
Data Science,YouTube,25,78.64,50.93,3,FAL,D,July,M,70,1,33,77,60,56,73,0,1,1
Psychology,NA,21,83.11,77.45,2,FAL,D,September,F,64,2,54,81,96,69,58,3,3,0
Psychology,Instagram,22,75.68,68.5,3,FAL,D,March,F,65,1,60,85,65,50,75,4,1,1
Psychology,Facebook,21,83.57,79.68,1,FAL,D,March,F,64,2,67,92,81,85,50,4,4,0
Psychology,Instagram,19,78.7,51.38,2,FAL,D,February,F,68,1,42,85,87.5,79,48,4,1,1
Psychology,YouTube,21,82.5,75.56,1,FAL,D,February,M,73,3,71,77,83,31,15,4,1,1
"Fisheries, Range and Wildlife Management",Instagram,21,69.13,7.29,2,FAL,D,November,M,70,1,40,62.5,56,67,27,4,3,0
"Fisheries, Range and Wildlife Management",YouTube,19,81.58,69.71,2,FAL,D,August,F,61,1,71,77,85,33,58,5,4,0
Data Science,YouTube,22,83.59,79.71,1,FAL,D,February,M,68,3,48,52,77,65,46,1,2,0
Psychology,YouTube,21,73.26,18.77,1,FAL,D,June,M,67,1,48,77,75,75,44,3,1,1
Horticulture,Discord,18,77.12,40.98,1,FAL,D,June,F,66,1.5,62.5,75,87.5,62.5,46,5,5,0
Psychology,Instagram,20,64.67,78,3,FAL,D,October,F,63,1,31,67,69,60,63,3,2,0
Computer Science,YouTube,24,78.61,50.63,6,FAL,D,March,M,70,2,62.5,79,71,71,27,2,3,0
"Fisheries, Range and Wildlife Management",TikTok,23,72.13,14.62,1,FAL,D,July,F,67,1,56,81,87.5,79,58,3,2,0
Accounting,Instagram,20,86.2,90.15,3,FAL,D,May,F,68,1,92,81,67,83,8,4,1,1
Psychology,NA,23,89.75,97.1,3,FAL,D,February,M,72,1,85,79,79,48,12.5,4,3,0
Business Analytics,Instagram,22,85.84,88.77,2,FAL,D,May,M,69,2,62.5,67,46,60,35,4,5,0
Psychology,Instagram,22,86.06,89.43,3,FAL,D,December,M,70,2,75,75,65,73,42,4,1,1
Psychology,Instagram,18,66.12,4.18,1,FAL,D,March,F,61,2,27,81,83,62.5,73,4,4,0
"Fisheries, Range and Wildlife Management",Tumblr,23,90.15,97.6,3,FAL,D,June,F,69,1,31,79,94,52,87.5,3,1,1
Business Analytics,NA,18,79.13,54.44,1,FAL,D,June,F,64,1,83,62.5,77,94,27,2,1,1
Business Analytics,Instagram,23,78.03,47.05,2,FAL,D,August,M,70,1,31,73,60,85,25,3,1,1
Psychology,Facebook,22,72.2,14.87,3,FAL,D,June,F,60,1,29,62.5,83,37.5,75,3,3,0
Psychology,YouTube,25,84.82,85.08,2,FAL,D,October,M,72,1,79,100,96,81,27,2,2,0
Psychology,Instagram,20,60.96,1.83,2,FAL,D,October,F,61,2,40,85,73,92,54,1,2,0
Business Analytics,Instagram,23,86.84,91.6,3,FAL,D,June,M,70,3,69,77,65,85,33,11,6,0
General Studies,YouTube,18,78.29,48.83,1,FAL,D,October,M,75,1,56,75,90,62.5,23,2,1,1
Data Science,YouTube,28,77.54,43.36,2,FAL,D,May,M,71,3,71,73,58,69,27,5,2,0
Economics,Instagram,22,84.29,82.77,2,FAL,D,July,M,72,1,77,75,56,54,48,4,2,0
Psychology,Instagram,22,90.1,97.52,1,FAL,D,June,M,71,2,85,100,69,65,0,4,2,0
Software Engineering,TikTok,25,91.2,98.57,4,FAL,D,December,F,64,3,98,79,100,73,19,2,1,1
Data Science,Instagram,18,71.56,12.79,1,FAL,D,July,M,67,2,54,50,71,37.5,67,3,1,1
Psychology,Instagram,21,79.14,54.44,2,FAL,D,March,F,66,2,44,83,90,60,23,4,1,1
Geology,YouTube,21,72.43,15.62,2,FAL,D,November,M,68,1,46,71,81,50,27,3,4,0
Computer Science,YouTube,24,73.11,18.01,4,FAL,D,July,M,66,1,35,81,65,54,33,2,2,0
Accounting,Rednotes,19,71.35,12.21,1,FAL,D,December,F,63,2,44,83,54,56,54,0,1,1
Psychology,Instagram,21,82.99,76.94,2,FAL,D,November,M,72,2,98,85,35,46,27,3,1,1
Business Management,TikTok,20,79.69,58.21,3,FAL,D,March,F,66,3,33,85,79,58,73,3,3,0
Computer Engineering,YouTube,20,77.1,40.82,3,FAL,D,March,M,74,3,96,73,94,52,40,6,6,0
Psychology,TikTok,23,86.7,91.2,2,FAL,D,February,F,66,1,58,33,73,31,40,3,3,0
Mathematices Education,Instagram,18,76.82,38.94,1,FAL,D,January,F,69,1,69,79,65,50,73,4,5,0
English Education Composite,YouTube,18,76.7,38.53,1,FAL,D,December,F,63,1,48,77,90,42,67,4,2,0
"Fisheries, Range and Wildlife Management",YouTube,20,72.63,16.36,1,FAL,D,October,M,73,1,48,75,46,56,12.5,3,2,0
Psychology,YouTube,21,88.25,94.63,1,FAL,D,July,M,68,1,40,60,94,71,40,3,1,1
"Fisheries, Range and Wildlife Management",Instagram,25,84.33,82.92,4,FAL,D,January,M,70,2,67,83,62.5,77,12.5,1,2,0
"Fisheries, Range and Wildlife Management",YouTube,19,70.56,10.09,2,FAL,D,March,F,65,1,35,77,79,42,21,4,1,1
Health Psychology,Facebook,46,83.84,80.82,3,FAL,D,July,F,64,1,73,77,67,56,52,8,6,0
Psychology,Instagram,18,73.84,21.62,1,FAL,D,May,F,64,1,42,62.5,85,62.5,40,3,1,1
"Fisheries, Range and Wildlife Management",YouTube,23,8.21,69.69,2,FAL,D,August,F,,2,,,,,,4,4,0
Political Science,TikTok,19,83.9,,2,FAL,D,October,F,59,2,65,85,81,69,35,0,1,1
Psychology,Instagram,20,83.98,81.42,2,FAL,D,November,F,66,1,79,83,75,48,71,2,2,0
Data Science,YouTube,22,79.11,54.29,1,FAL,D,October,M,72,4,42,60,67,67,81,1,1,1
Health Psychology,Instagram,18,76.09,34.04,1,FAL,D,June,F,66,1,31,73,52,83,46,9,5,0
"Fisheries, Range and Wildlife Management",YouTube,23,92.2,99.24,2,FAL,D,October,M,70,1,37.5,73,77,62.5,73,3,2,0
Business Analytics,YouTube,21,76.38,35.74,2,FAL,D,January,M,68,1.5,83,71,81,71,29,5,1,1
Psychology,Instagram,20,75.63,31.36,3,FAL,D,January,M,72,1,83,69,69,62.5,52,3,4,1
Psychology,YouTube,18,90.82,98.2,1,FAL,D,April,F,64,2,46,69,83,50,44,5,2,0
Business Analytics,X,21,81.85,71.28,2,FAL,D,January,M,69,2,58,79,19,77,44,2,1,1
"Fisheries, Range and Wildlife Management",YouTube,21,73.81,21.38,2,FAL,D,November,M,73,1,62.5,54,69,79,52,2,1,1
Psychology,YouTube,19,74.41,24.51,2,FAL,D,September,F,67,1,40,79,79,62.5,71,9,3,0
Psychology,Instagram,21,74.09,22.84,2,FAL,D,March,F,,2,60,54,79,71,50,1,1,1
Computer Engineering,YouTube,20,75.87,32.65,3,FAL,D,June,M,74,1,4,50,75,23,83,4,3,0
Psychology,YouTube,18,82.61,75.04,1,FAL,D,January,F,59,1,48,73,92,69,48,2,1,1
Psychology,NA,24,86.48,90.64,2,FAL,D,February,F,66,1,75,96,87.5,52,69,4,2,0
"Fisheries, Range and Wildlife Management",NA,20,75.67,31.4,2,FAL,D,April,F,70,1,21,73,56,69,46,2,3,0
Biology,Instagram,18,,,2,FAL,D,March,F,64,1,31,73,83,52,72,4,1,1
Psychology,YouTube,21,76.39,35.88,1,FAL,D,December,M,65,1,37.5,62.5,77,60,37.5,2,1,1
Computer Science,YouTube,21,78.86,52.78,4,FAL,D,March,M,5'11,1,46,83,75,62.5,62.5,3,1,1
Biomedical Science,NA,23,85.5,87.63,3,FAL,D,December,M,68,2,62.5,65,58,75,27,2,3,0
Accounting,NA,20,75.13,28.94,1,FAL,D,January,M,76,1,73,81,54,71,15,6,5,0
Psychology,Instagram,18,70.65,10.3,1,FAL,D,June,F,5.2,3,75,69,60,54,62.5,2,3,0
Mathematics,Instagram,18,80.12,60.7,1,FAL,D,April,F,67,2.5,58,62.5,35,54,42,2,2,0
Psychology,Instagram,21,85.5,87.63,1,FAL,D,December,F,5'3,2,73,80,60,48,81,2,1,1
Psychology,Instagram,22,84.63,84.23,1,FAL,D,November,M,"5'9""",2,79,56,83,67,48,3,1,1
"Fisheries, Range and Wildlife Management",YouTube,24,69.58,8.06,1,FAL,D,October,M,5'8,1,48,62.5,60,54,58,12,2,0
"Fisheries, Range and Wildlife Management",Facebook,19,83.88,80.97,2,FAL,D,July,F,67,1,42,60,40,58,40,5,2,0
Biochemistry,TikTok,18,79.96,59.72,2,FAL,D,October,F,"5""5",1,94,87.5,75,92,29,2,2,0
